,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Eric L. Adams,260455,260629,261042,261532,262609,265705,283142,314194,358521
Maya D. Wiley,181590,181648,181945,183897,186001,188530,213857,226575,eliminated
Kathryn A. Garcia,158221,158318,158405,158946,160226,164395,190106,226922,343766
Andrew Yang,96005,96152,96331,96765,98485,101107,111239,eliminated,eliminated
Scott M. Stringer,41141,41199,41288,41576,42731,44990,eliminated,eliminated,eliminated
Dianne Morales,23086,23121,23219,23926,26386,27018,eliminated,eliminated,eliminated
Raymond J. McGuire,18893,18920,19056,19213,19880,21064,eliminated,eliminated,eliminated
Shaun Donovan,17810,17828,17932,18092,18544,eliminated,eliminated,eliminated,eliminated
Aaron S. Foldenauer,7121,7136,7190,7297,eliminated,eliminated,eliminated,eliminated,eliminated
Art Chang,6073,6083,6109,6521,eliminated,eliminated,eliminated,eliminated,eliminated
Paperboy Love Prince,3557,3592,3637,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated
Joycelyn Taylor,2289,2307,2384,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated
Isaac Wright Jr.,1999,2010,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated
Write-ins,1374,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated
Inactive ballots,0,671,1076,1849,4752,6805,21270,51923,117327
